OTU,Size,Phylum,Class,Order,Family,Genus
Otu00001,1057898,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Endozoicomonas
Otu00002,630318,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Endozoicomonas
Otu00003,458760,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella
Otu00004,240736,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria
Otu00005,119535,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu00006,113044,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00007,97332,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahellaceae
Otu00008,57086,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00009,35771,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00010,27914,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
Otu00011,23987,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu00012,21266,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00013,20886,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Endozoicomonas
Otu00014,20839,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00015,19530,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Endozoicomonas
Otu00016,17511,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu00017,16081,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu00018,15121,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu00019,13725,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga
Otu00020,13056,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00021,12351,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola
Otu00022,11643,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu00023,10840,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu00024,10296,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00025,10081,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00026,10073,Proteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Epsilonproteobacteria
Otu00027,9552,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00028,9221,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00029,9145,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas
Otu00030,9094,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00031,8663,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Algicola
Otu00032,7623,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea
Otu00033,7591,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
Otu00034,7590,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00035,7285,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00036,7271,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptuniibacter
Otu00037,7139,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
Otu00038,7127,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonadaceae
Otu00039,7093,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pelagibius
Otu00040,7043,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella
Otu00041,6738,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Otu00042,6549,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Prosthecochloris
Otu00043,6085,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularculaceae
Otu00044,5893,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00045,5650,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga
Otu00046,5601,Proteobacteria,Alphaproteobacteria,SAR11,Candidatus_Pelagibacter,Candidatus_Pelagibacter
Otu00047,5595,Chlamydiae,Chlamydiia,Chlamydiales,Simkaniaceae,Simkania
Otu00048,5499,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00049,5497,Proteobacteria,Alphaproteobacteria,Eilatimonas,Eilatimonas,Eilatimonas
Otu00050,5412,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter
Otu00051,5409,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
Otu00052,5227,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00053,5156,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00054,4728,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga
Otu00055,4617,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pelagibius
Otu00056,4586,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta
Otu00057,4572,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales0,Chromatiales
Otu00058,4241,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Otu00059,4162,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00060,4125,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira
Otu00061,4095,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muricauda
Otu00062,3832,Proteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Epsilonproteobacteria
Otu00063,3747,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis
Otu00064,3719,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00065,3677,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter
Otu00066,3670,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00067,3666,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales
Otu00068,3586,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
Otu00069,3459,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta
Otu00070,3385,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00071,3316,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter
Otu00072,3293,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonadaceae
Otu00073,3292,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobiaceae
Otu00074,3271,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00075,3269,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichales_incertae_sedis,Fangia
Otu00076,3225,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00077,3184,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00078,3095,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Otu00079,3087,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
Otu00080,3058,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Myxococcales
Otu00081,3036,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00082,3025,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
Otu00083,3023,Bacteroidetes,Cytophagia,Cytophagales,Cytophagales,Cytophagales
Otu00084,3023,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu00085,2991,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium_XI
Otu00086,2790,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00087,2702,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00088,2658,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu00089,2621,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Aestuariispira
Otu00090,2494,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00091,2449,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna
Otu00092,2439,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu00093,2406,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu00094,2399,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
Otu00095,2389,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales
Otu00096,2374,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Otu00097,2371,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacteriaceae
Otu00098,2343,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter
Otu00099,2328,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu00100,2327,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonadaceae
Otu00101,2274,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu00102,2264,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00103,2219,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu00104,2215,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu00105,2143,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00106,2121,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00107,2121,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Endozoicomonas
Otu00108,2118,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Methyloceanibacter
Otu00109,2031,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas
Otu00110,1996,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muricauda
Otu00111,1990,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu00112,1977,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales,Chromatiales
Otu00113,1954,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu00114,1934,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_incertae_sedis,Geminicoccus,Geminicoccus
Otu00115,1862,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00116,1858,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiales,Acidimicrobiales
Otu00117,1851,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadales_incertae_sedis,Alteromonadales_incertae_sedis
Otu00118,1850,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirgaceae
Otu00119,1837,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera
Otu00120,1831,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula
Otu00121,1823,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcaceae
Otu00122,1821,Proteobacteria,Alphaproteobacteria,SAR11,Candidatus_Pelagibacter,Candidatus_Pelagibacter
Otu00123,1802,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Otu00124,1794,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Gammaproteobacteria_incertae_sedis,Gammaproteobacteria_incertae_sedis
Otu00125,1790,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00126,1765,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu00127,1711,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00128,1685,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
Otu00129,1681,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella
Otu00130,1675,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu00131,1636,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Gammaproteobacteria_incertae_sedis,Gammaproteobacteria_incertae_sedis
Otu00132,1634,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales
Otu00133,1631,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonadaceae
Otu00134,1619,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00135,1604,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu00136,1602,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacteriaceae
Otu00137,1598,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fabibacter
Otu00138,1596,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00139,1596,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00140,1584,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptuniibacter
Otu00141,1538,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00142,1517,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Otu00143,1497,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00144,1476,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu00145,1458,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
Otu00146,1439,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga
Otu00147,1435,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00148,1421,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae
Otu00149,1417,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Otu00150,1412,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu00151,1412,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu00152,1392,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00153,1370,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales
Otu00154,1350,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas
Otu00155,1315,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Thalassolituus
Otu00156,1303,Bacteroidetes,Bacteroidetes_incertae_sedis,Marinifilum,Marinifilum,Marinifilum
Otu00157,1297,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Spongiibacterium
Otu00158,1269,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu00159,1261,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Lentilitoribacter
Otu00160,1245,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00161,1232,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Otu00162,1229,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00163,1210,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu00164,1189,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales
Otu00165,1174,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirgaceae
Otu00166,1171,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00167,1171,Firmicutes,Clostridia,Clostridiales,Vallitalea,Vallitalea
Otu00168,1165,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00169,1164,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00170,1161,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter
Otu00171,1159,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Myxococcales
Otu00172,1153,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
Otu00173,1135,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00174,1132,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Gammaproteobacteria_incertae_sedis,Gammaproteobacteria_incertae_sedis
Otu00175,1111,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_,Clostridiaceae_
Otu00176,1100,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
Otu00177,1096,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobiaceae
Otu00178,1092,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00179,1088,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu00180,1086,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00181,1084,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales
Otu00182,1083,Proteobacteria,Alphaproteobacteria,SAR11,Candidatus_Pelagibacter,Candidatus_Pelagibacter
Otu00183,1059,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu00184,1052,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00185,1050,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales
Otu00186,1044,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ahrensia
Otu00187,1043,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu00188,1040,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00189,1024,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu00190,1017,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonadaceae
Otu00191,1017,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter
Otu00192,1008,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella
Otu00193,1006,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
Otu00194,1000,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu00195,994,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00196,993,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureicoccus
Otu00197,989,Firmicutes,Clostridia,Clostridiales,Clostridiales,Clostridiales
Otu00198,987,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella
Otu00199,980,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00200,974,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira
Otu00201,959,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu00202,952,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera
Otu00203,948,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fulvivirga
Otu00204,941,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
Otu00205,941,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu00206,926,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas
Otu00207,924,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium
Otu00208,921,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu00209,921,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales
Otu00210,917,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Myxococcales
Otu00211,915,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00212,912,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00213,907,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu00214,901,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00215,884,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu00216,884,Chlamydiae,Chlamydiia,Chlamydiales,Simkaniaceae,Simkania
Otu00217,882,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Psychrosphaera
Otu00218,876,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Lewinella
Otu00219,874,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
Otu00220,874,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00221,871,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonadaceae
Otu00222,869,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_,Oceanirhabdus
Otu00223,863,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales,Chromatiales
Otu00224,857,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae
Otu00225,856,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis
Otu00226,855,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu00227,853,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia
Otu00228,852,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Gammaproteobacteria_incertae_sedis0,Gammaproteobacteria_incertae_sedis
Otu00229,847,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
Otu00230,835,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu00231,834,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
Otu00232,831,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu00233,825,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae
Otu00234,815,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
Otu00235,814,Planctomycetes,Phycisphaerae,Phycisphaerae,Phycisphaerae,Phycisphaerae
Otu00236,810,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula
Otu00237,806,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera
Otu00238,805,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu00239,804,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Spongiibacterium
Otu00240,802,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu00241,802,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula
Otu00242,800,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
Otu00243,799,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00244,795,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00245,793,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu00246,789,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter
Otu00247,788,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales
Otu00248,785,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales
Otu00249,782,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
Otu00250,777,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonadaceae
Otu00251,776,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gilvibacter
Otu00252,772,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
