OTU,Size,Phylum,Class,Order,Family,Genus
Otu02632,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Spongiibacter,Spongiibacter
Otu02633,35,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera
Otu02634,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02635,35,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu02636,35,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02637,35,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydia
Otu02638,35,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02639,35,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Otu02640,35,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella
Otu02641,35,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriales,Sphingobacteriales
Otu02642,35,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
Otu02643,35,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02644,35,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofaba
Otu02645,35,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02646,35,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae
Otu02647,35,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Otu02648,35,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales,Chromatiales
Otu02649,35,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
Otu02650,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02651,35,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02652,34,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu02653,34,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadales,Sphingomonadales
Otu02654,34,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Otu02655,34,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu02656,34,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia
Otu02657,34,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
Otu02658,34,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae
Otu02659,34,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02660,34,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02661,34,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Litorilinea
Otu02662,34,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula
Otu02663,34,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02664,34,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydiaceae
Otu02665,34,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula
Otu02666,34,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02667,34,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Citreicella
Otu02668,34,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02669,34,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera
Otu02670,34,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02671,34,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02672,34,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02673,34,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
