Frag.ID	Parent.ID	Treatment	Species	Time.Point
354_T1	NA	NA	Pavona_varians	T1
355_TC	NA	NA	Pavona_varians	TC
355_TF	NA	NA	Pavona_varians	TF
355_T1	NA	NA	Pavona_varians	T1
356_TC	NA	NA	Pavona_varians	TC
356_TF	NA	NA	Pavona_varians	TF
356_T1	NA	NA	Pavona_varians	T1
357_TC	NA	NA	Pavona_varians	TC
357_TF	NA	NA	Pavona_varians	TF
357_T1	NA	NA	Pavona_varians	T1
358_TC	NA	NA	Pavona_varians	TC
358_TF	NA	NA	Pavona_varians	TF
358_T1	NA	NA	Pavona_varians	T1
359_TC	NA	NA	Pavona_varians	TC
359_TF	NA	NA	Pavona_varians	TF
359_T1	NA	NA	Pavona_varians	T1
360_TC	NA	NA	Pavona_varians	TC
360_TF	NA	NA	Pavona_varians	TF
360_T1	NA	NA	Pavona_varians	T1
361_TC	NA	NA	Pavona_varians	TC
361_TF	NA	NA	Pavona_varians	TF
361_T1	NA	NA	Pavona_varians	T1
362_TC	NA	NA	Pavona_varians	TC
362_TF	NA	NA	Pavona_varians	TF
362_T1	NA	NA	Pavona_varians	T1
363_TC	NA	NA	Montipora_capitata	TC
363_TF	NA	NA	Montipora_capitata	TF
363_T1	NA	NA	Montipora_capitata	T1
364_TC	NA	NA	Montipora_capitata	TC
364_TF	NA	NA	Montipora_capitata	TF
364_T1	NA	NA	Montipora_capitata	T1
365_TC	NA	NA	Montipora_capitata	TC
365_TF	NA	NA	Montipora_capitata	TF
365_T1	NA	NA	Montipora_capitata	T1
366_TC	NA	NA	Montipora_capitata	TC
366_TF	NA	NA	Montipora_capitata	TF
366_T1	NA	NA	Montipora_capitata	T1
367_TC	NA	NA	Montipora_capitata	TC
367_TF	NA	NA	Montipora_capitata	TF
367_T1	NA	NA	Montipora_capitata	T1
368_TC	NA	NA	Montipora_capitata	TC
368_T1	NA	NA	Montipora_capitata	TF
368_TF	NA	NA	Montipora_capitata	T1
369_TC	NA	NA	Montipora_capitata	TC
369_TF	NA	NA	Montipora_capitata	TF
369_T1	NA	NA	Montipora_capitata	T1
370_TC	NA	NA	Montipora_capitata	TC
370_TF	NA	NA	Montipora_capitata	TF
370_T1	NA	NA	Montipora_capitata	T1
371_TC	NA	NA	Montipora_capitata	TC
371_TF	NA	NA	Montipora_capitata	TF
371_T1	NA	NA	Montipora_capitata	T1
372_TC	NA	NA	Montipora_capitata	TC
372_TF	NA	NA	Montipora_capitata	TF
372_T1	NA	NA	Montipora_capitata	T1
373_TC	NA	NA	Montipora_capitata	TC
373_TF	NA	NA	Montipora_capitata	TF
373_T1	NA	NA	Montipora_capitata	T1
374_TC	NA	NA	Montipora_capitata	TC
374_TF	NA	NA	Montipora_capitata	TF
374_T1	NA	NA	Montipora_capitata	T1
negative_102	311	Ambient	Pocillopora_damicornis	TF
negative_104	310	Ambient	Pocillopora_damicornis	T1
negative_105	321	Ambient	Porites_compressa	TF
negative_107	315	High	Porites_compressa	T0
negative_108	353	Ambient	Pavona_varians	T1
negative_109	302	High	Pocillopora_damicornis	T0
negative_11	369	Ambient	Montipora_capitata	T0
negative_110	369	Ambient	Montipora_capitata	TF
negative_111	303	High	Pocillopora_damicornis	T0
negative_115	322	Ambient	Porites_compressa	TF
negative_117	319	Ambient	Porites_compressa	T1
negative_122	319	Ambient	Porites_compressa	TF
negative_124	318	Ambient	Porites_compressa	T1
negative_126	366	Ambient	Montipora_capitata	T1
negative_127	366	Ambient	Montipora_capitata	TEnd
negative_131	324	Ambient	Porites_compressa	TF
negative_132	308	Ambient	Pocillopora_damicornis	TF
negative_134	319	High	Porites_compressa	T1
negative_138	324	High	Porites_compressa	TF
negative_141	366	High	Montipora_capitata	TF
negative_145	374	Ambient	Montipora_capitata	T0
negative_149	321	Ambient	Porites_compressa	T1
negative_150	364	High	Montipora_capitata	T1
negative_152	374	Ambient	Montipora_capitata	TF
negative_157	322	High	Porites_compressa	T1
negative_158	307	Ambient	Pocillopora_damicornis	TF
negative_161	313	Ambient	Porites_compressa	T1
negative_169	305	Ambient	Pocillopora_damicornis	TF
negative_170	307	Ambient	Pocillopora_damicornis	T1
negative_172	374	Ambient	Montipora_capitata	T1
negative_18	301	High	Pocillopora_damicornis	T0
negative_181	316	Ambient	Porites_compressa	T1
negative_183	363	Ambient	Montipora_capitata	TF
negative_184	363	Ambient	Montipora_capitata	T1
negative_189	313	Ambient	Porites_compressa	TF
negative_19	319	Ambient	Porites_compressa	T0
negative_190	366	High	Montipora_capitata	T1
negative_191	353	Ambient	Pavona_varians	TF
negative_192	373	Ambient	Montipora_capitata	T1
negative_197	309	Ambient	Pocillopora_damicornis	T1
negative_198	305	Ambient	Pavona_varians	T1
negative_2	306	High	Pocillopora_damicornis	T0
negative_205	320	Ambient	Porites_compressa	TF
negative_208	367	Ambient	Montipora_capitata	TF
negative_209	301	Ambient	Pocillopora_damicornis	T1
negative_21	372	Ambient	Montipora_capitata	T0
negative_211	316	Ambient	Porites_compressa	TF
negative_212	374	High	Montipora_capitata	TEnd
negative_217	361	Ambient	Pavona_varians	TF
negative_222	356	Ambient	Pavona_varians	T1
negative_223	371	Ambient	Montipora_capitata	TF
negative_25	323	Ambient	Porites_compressa	T0
negative_3	322	Ambient	Porites_compressa	T0
negative_30	307	Ambient	Pocillopora_damicornis	T0
negative_33	364	High	Montipora_capitata	T0
